sifra,ime,tipi,efekt,ATK,DEF,level,atribut,summon condition 
51196805,Ghostrick Skeleton,"Effect Monster,Zombie","Cannot be Normal Summoned, unless you control a ""Ghostrick"" monster. Once per turn: You can change this card to face-down Defense Position. When this card is flipped face-up: Banish cards from the top of your opponent's Deck face-down, up to the number of ""Ghostrick"" monsters you control. You can only use this effect of ""Ghostrick Skeleton"" once per turn.                    ",1200,1100,3,DARK,
32224143,Ghostrick Socuteboss,"Effect Monster,Spellcaster","While you control another ""Ghostrick"" monster, your opponent cannot target this card for attacks. Once per turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster on the field, with ATK less than or equal to the combined ATK of all ""Ghostrick"" monsters on the field; destroy it, and if you do, that Monster Card Zone cannot be used as long as you control a ""Ghostrick"" monster.                    ",1400,1200,2,DARK,2 Level 2 monsters
81907872,Ghostrick Specter,"Effect Monster,Fiend","Cannot be Normal Summoned, unless you control a ""Ghostrick"" monster. Once per turn: You can change this card to face-down Defense Position. When a ""Ghostrick"" monster is destroyed by an opponent's card effect, or by battle with their attacking monster, and sent to your Graveyard: You can Special Summon this card from your hand in face-down Defense Position, and if you do, draw 1 card.                    ",600,0,1,DARK,
16279989,Ghostrick Stein,"Effect Monster,Zombie","Cannot be Normal Summoned, unless you control a ""Ghostrick"" monster. Once per turn: You can change this card to face-down Defense Position. When this card inflicts battle damage to your opponent: You can add 1 ""Ghostrick"" Spell/Trap Card from your Deck to your hand. You can only use this effect of ""Ghostrick Stein"" once per turn.                    ",1600,0,3,DARK,
72913666,Ghostrick Warwolf,"Effect Monster,Zombie","Cannot be Normal Summoned, unless you control a ""Ghostrick"" monster. Once per turn: You can change this card to face-down Defense Position. When this card is flipped face-up: Inflict 100 damage to your opponent for each Set card on the field. You can only use this effect of ""Ghostrick Warwolf"" once per turn.                    ",1400,1500,3,DARK,
27491571,Ghostrick Witch,"Effect Monster,Spellcaster","Cannot be Normal Summoned, unless you control a ""Ghostrick"" monster. Once per turn: You can change this card to face-down Defense Position. Once per turn: You can target 1 face-up monster your opponent controls; change it to face-down Defense Position.                    ",1200,200,2,DARK,
84472026,Ghostrick Yeti,"Effect Monster,Zombie","Cannot be Normal Summoned, unless you control a ""Ghostrick"" monster. Once per turn: You can change this card to face-down Defense Position. When this card is flipped face-up: You can target 1 ""Ghostrick"" monster on the field; this turn, it cannot be destroyed by battle or by card effects.                    ",300,2000,3,DARK,
54490275,Ghostrick Yuki-onna,"Effect Monster,Spellcaster","Cannot be Normal Summoned, unless you control a ""Ghostrick"" monster. Once per turn: You can change this card to face-down Defense Position. When this card is destroyed by battle and sent to the Graveyard: You can change the monster that destroyed it to face-down Defense Position, and if you do, it cannot change its battle position.                    ",1000,800,2,DARK,
95178994,Giant Germ,"Effect Monster,Fiend","When this card is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent. You can also Special Summon any number of ""Giant Germs"" from your Deck in face-up Attack Position.                    ",1000,100,2,DARK,
58185394,Giant Kozaky,"Effect Monster,Fiend","If there is no face-up ""Kozaky"" on the field, destroy this card. If this face-up card on the field is destroyed, inflict damage to the current controller's Life Points equal to the original ATK of this card.                    ",2500,2400,4,DARK,
73698349,Giant Orc,"Effect Monster,Fiend","If this card attacks, it is changed to Defense Position at the end of the Battle Phase. It cannot change its battle position until the end of your next turn.                    ",2200,0,4,DARK,
54498517,Gigantic Spright,"Effect Monster,Thunder","For this card's Xyz Summon, you can treat Link-2 monsters you control as Level 2 monsters for material. The original ATK of this card that has a Fusion, Synchro, Xyz, or Link Monster as material becomes doubled. During your Main Phase: You can activate this effect; detach 1 material from a monster you control, and if you do, Special Summon 1 Level 2 monster from your Deck, also neither player can Special Summon monsters for the rest of this turn, except Level/Rank/Link 2 monsters. You can only use this effect of ""Gigantic Spright"" once per turn.                    ",1600,1600,2,DARK,2 Level 2 monsters
33621868,Giganto,"Normal Monster,Machine",A massive steel ball that mows down anything in its path.                    ,1700,1800,5,DARK,
38445524,Gil Garth,"Normal Monster,Fiend",This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.                    ,1800,1200,4,DARK,
79086452,Gimmick Puppet Bisque Doll,"Effect Monster,Machine","You can Special Summon this card (from your hand) by discarding 1 ""Gimmick Puppet"" monster. You can banish this card from your GY; your opponent cannot target ""Gimmick Puppet"" monsters you control with card effects this turn.                    ",1000,1000,8,DARK,
99229085,Gimmick Puppet Cattle Scream,"Effect Monster,Machine",<li>Once per turn: You can target 1 monster in your opponent's GY; Special Summon it to your opponent's field in Defense Position.                    ,2000,2000,8,DARK,"You can detach 1 material from an Xyz Monster you control; Special Summon this card from your hand or GY, but banish it when it leaves the field. You can only use this effect of ""Gimmick Puppet Cattle Scream"" once per turn. A ""Gimmick Puppet"" Xyz Monster that has this card as material gains this effect."
97520532,Gimmick Puppet Chimera Doll,"Effect Monster,Machine","You can target 1 ""Gimmick Puppet"" monster on the field; destroy it. This effect can only be used once while this card is face-up on the field. When this card is sent from the field to the Graveyard: You can Special Summon 1 or 2 ""Gimmick Puppet"" monsters from your hand.                    ",1500,2000,,DARK,
92418590,Gimmick Puppet Dreary Doll,"Effect Monster,Machine","If this card is in your Graveyard: You can banish 1 other ""Gimmick Puppet"" monster from your Graveyard; Special Summon this card from your Graveyard. You can only use this effect of ""Gimmick Puppet Dreary Doll"" once per turn. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a ""Gimmick Puppet"" monster.                    ",0,0,8,DARK,
76290637,Gimmick Puppet Fantasix Machinix,"Effect Monster,Machine","You can detach 1 material from this card; add 1 ""Rank-Up-Magic"" Spell from your Deck to your hand, also, you can Normal Summon 1 Machine monster during your Main Phase this turn, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If you Special Summon a ""Gimmick Puppet"" Xyz Monster(s) (except during the Damage Step): You can Special Summon this card from your GY to either field in Defense Position, then you can add 1 ""Rank-Up-Magic"" Spell from your GY to your hand. You can only use each effect of ""Gimmick Puppet Fantasix Machinix"" once per turn.                    ",1500,3100,8,DARK,2 Level 8 monsters
04145915,Gimmick Puppet Fiendish Knight,"Effect Monster,Machine","If this card is in your hand: You can target 1 ""Gimmick Puppet"" monster in your GY or 1 monster in your opponent's GY; Special Summon it to its owner's field in Defense Position, but its effects are negated, then Special Summon this card. If this card is sent to the GY, except from the hand: You can add it to your hand. You can only use each effect of ""Gimmick Puppet Fiendish Knight"" once per turn, also you cannot Special Summon from the Extra Deck the turn you activate either of this card's effects, except ""Gimmick Puppet"" monsters.                    ",1800,500,4,DARK,
07593748,Gimmick Puppet Gigantes Doll,"Effect Monster,Machine","You can detach 2 materials from this card, then target up to 2 monsters your opponent controls; gain control of them until the End Phase, also for the rest of this turn you cannot Special Summon monsters, except ""Gimmick Puppet"" monsters, nor declare an attack, except with Xyz Monsters. You can Tribute this card; all monsters you currently control become Level 8 until the end of this turn. You can only use each effect of ""Gimmick Puppet Gigantes Doll"" once per turn.                    ",0,2000,4,DARK,"2 Level 4 ""Gimmick Puppet"" monsters"
08226374,Gimmick Puppet Humpty Dumpty,"Effect Monster,Machine","When this card is Normal Summoned or Special Summoned: You can Special Summon 1 ""Gimmick Puppet"" monster from your hand. You can only use this effect of ""Gimmick Puppet Humpty Dumpty"" once per turn.                    ",0,100,4,DARK,
36436372,Gimmick Puppet Little Soldiers,"Effect Monster,Machine","If this card is Normal or Special Summoned: You can send 1 ""Gimmick Puppet"" monster with a different Level than this card from your Deck to the GY; this card's Level becomes that monster's. You can only use this effect of ""Gimmick Puppet Little Soldiers"" once per turn. You can banish this card from your GY, then target up to 2 ""Gimmick Puppet"" monsters you control; increase their Levels by 4 until the end of this turn.                    ",0,0,4,DARK,
39806198,Gimmick Puppet Magnet Doll,"Effect Monster,Machine","If your opponent controls a monster, and all monsters you control are ""Gimmick Puppet"" monsters (min. 1). you can Special Summon this card (from your hand).                    ",1000,1000,8,DARK,
55204071,Gimmick Puppet Nightmare,"Effect Monster,Machine","You can Special Summon this card (from your hand) by Tributing 1 face-up Xyz Monster. You can only Special Summon ""Gimmick Puppet Nightmare"" once per turn this way. When you do: You can Special Summon 1 ""Gimmick Puppet Nightmare"" from your hand or GY. If this card is Special Summoned, you cannot Special Summon any monsters for the rest of this turn, except ""Gimmick Puppet"" monsters.                    ",1000,2000,8,DARK,
63825486,Gimmick Puppet Rouge Doll,"Effect Monster,Machine","If this card is in your hand: You can reveal 1 ""Gimmick Puppet"" Xyz Monster in your Extra Deck; Special Summon both this card, and 1 ""Gimmick Puppet"" monster with the same Level as the revealed monster's Rank from your Deck. If this card is sent to the GY, except from the hand: You can add it to your hand. You can only use each effect of ""Gimmick Puppet Rouge Doll"" once per turn, also you cannot Special Summon from the Extra Deck the turn you activate either of this card's effects, except ""Gimmick Puppet"" monsters.                    ",400,1400,8,DARK,
29216967,Gimmick Puppet Scissor Arms,"Effect Monster,Machine","When this card is Normal Summoned: You can send 1 ""Gimmick Puppet"" monster from your Deck to the Graveyard.                    ",1200,600,4,DARK,
34620088,Gimmick Puppet Shadow Feeler,"Effect Monster,Machine","Cannot be destroyed by battle. When you take battle damage from an opponent's direct attack while this card is in your Graveyard: You can Special Summon this card from your Graveyard in face-up Attack Position, and if you do, take 1000 damage. You can only use this effect of ""Gimmick Puppet Shadow Feeler"" once per turn. If this card is an Xyz Material and would be sent to the Graveyard, banish it instead.                    ",1000,1000,8,DARK,
43598843,Gimmick Puppet Terror Baby,"Effect Monster,Machine","When this card is Normal Summoned: You can target 1 ""Gimmick Puppet"" monster in your GY, except ""Gimmick Puppet Terror Baby""; Special Summon it in Defense Position. You can banish this card from your GY; your opponent cannot activate cards or effects in response to the activation of your ""Gimmick Puppet"" monster effects this turn.                    ",500,0,4,DARK,
92821268,Gimmick Puppet Twilight Joker,"Effect Monster,Machine","When a ""Gimmick Puppet"" monster you control is destroyed by battle and sent to your Graveyard: You can banish that monster; Special Summon this card from your hand. You can only use the effect of ""Gimmick Puppet Twilight Joker"" once per turn.                    ",800,1600,8,DARK,
69811710,"Girsu, the Orcust Mekk-Knight","Effect Monster,Machine","If this card is Normal or Special Summoned: You can send 1 ""Orcust"" or ""World Legacy"" card from your Deck to the GY, then, if there are 2 or more other cards in this card's column, treat this card as a Tuner this turn. If you control no other monsters: You can Special Summon 1 ""World Legacy Token"" (Machine/DARK/Level 1/ATK 0/DEF 0) to both players' fields in Defense Position. You can only use each effect of ""Girsu, the Orcust Mekk-Knight"" once per turn.                    ",1800,0,4,DARK,
71197066,"Gizmek Orochi, the Serpentron Sky Slasher","Effect Monster,Machine","If this card is in your hand or GY (Quick Effect): You can banish 8 cards from the top of your Deck face-down; Special Summon this card. You can banish 3 cards from your Extra Deck face-down, then target 1 face-up monster on the field; destroy it. You can only use 1 ""Gizmek Orochi, the Serpentron Sky Slasher"" effect per turn, and only once that turn.                    ",2450,2450,8,DARK,
03779662,Gladiator Beast Andabata,"Effect Monster,Beast-Warrior","Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) If Summoned this way: You can Special Summon 1 Level 7 or lower ""Gladiator Beast"" Fusion Monster from your Extra Deck, ignoring its Summoning conditions. At the end of the Battle Phase, if this card battled: You can return it to the Extra Deck; Special Summon 2 ""Gladiator Beast"" monsters from your Deck.                    ",1000,2800,8,DARK,"""Gladiator Beast Augustus"" + 2 ""Gladiator Beast"" monsters"
07573135,Gladiator Beast Augustus,"Effect Monster,Winged Beast","When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster: You can Special Summon 1 ""Gladiator Beast"" monster from your hand in face-up Defense Position. Shuffle it into the Deck during the End Phase. At the end of the Battle Phase, if this card attacked or was attacked: You can shuffle it into the Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Augustus"".                    ",2600,1000,8,DARK,
48958757,Gladiator Beast Claudius,"Effect Monster,Beast","5 ""Gladiator Beast"" monsters<br>Must first be Special Summoned (from your Extra Deck) by shuffling the above cards from your field and/or GY into the Deck/Extra Deck. If Summoned this way: You can conduct your next Battle Phase twice. Once per turn, if your opponent activates a monster effect (except during the Damage Step): You can activate the following effect depending on whose turn it is;<br><li>Yours: Special Summon 1 ""Gladiator Beast"" monster from your Deck.<br><li>Opponent's: Special Summon 1 Level 11 or lower ""Gladiator Beast"" monster from your Extra Deck, ignoring its Summoning conditions.                    ",3700,2600,12,DARK,
33652635,Gladiator Beast Domitianus,"Effect Monster,Sea Serpent","Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Once per turn, when your opponent activates a monster effect (Quick Effect): You can negate the activation, and if you do, destroy it. You choose the attack targets for your opponent's attacks. At the end of the Battle Phase, if this card battled: You can return this card to the Extra Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck.                    ",3500,1200,10,DARK,"""Gladiator Beast Vespasius"" + 2 ""Gladiator Beast"" monsters"
90957527,Gladiator Beast Gaiodiaz,"Effect Monster,Dinosaur","This card can only be Special Summoned from the Fusion Deck by returning the above Fusion Material Monsters from the field to the Deck. (You do not use ""Polymerization""). When this card destroys a monster by battle and sends it to the Graveyard, inflict damage to your opponent equal to the DEF of the destroyed monster. If this card battles, by returning it from the field to the Fusion Deck at the end of the Battle Phase, Special Summon 2 ""Gladiator Beast"" monsters from your Deck, except ""Gladiator Beast Spartacus"".                    ",2600,1500,7,DARK,"Gladiator Beast Spartacus + 1 ""Gladiator Beast"" monster"
48156348,Gladiator Beast Gyzarus,"Effect Monster,Winged Beast","Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) When this card is Special Summoned: You can target up to 2 cards on the field; destroy those targets. At the end of the Battle Phase, if this card battled: You can return it to the Extra Deck; Special Summon 2 ""Gladiator Beast"" monsters from your Deck, except ""Gladiator Beast Bestiari"".                    ",2400,1500,6,DARK,"""Gladiator Beast Bestiari"" + 1 ""Gladiator Beast"" monster"
29357956,Gladiator Beast Nerokius,"Effect Monster,Winged Beast","Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Cannot be destroyed by battle. If this card attacks or is attacked, your opponent cannot activate cards or effects until the end of the Damage Step. At the end of the Battle Phase, if this card attacked or was attacked: You can shuffle it into the Extra Deck; Special Summon 2 ""Gladiator Beast"" monsters from your Deck.                    ",2800,1900,8,DARK,"3 ""Gladiator Beast"" monsters"
67385964,Gladiator Beast Noxious,"Effect Monster,Beast-Warrior","When an opponent's monster declares a direct attack: You can Special Summon this card from your hand, and if you do, change the attack target to this card, and proceed to damage calculation. This card cannot be destroyed by that battle. If this card is Special Summoned by the effect of a ""Gladiator Beast"" monster: You can send 1 ""Gladiator Beast"" monster from your Deck to the GY. At the end of the Battle Phase, if this card battled: You can shuffle it into the Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Noxious"".                    ",0,1000,5,DARK,
30864377,Gladiator Beast Tamer Editor,"Effect Monster,Beast-Warrior","Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Cannot be used as Fusion Material. Once per turn: You can Special Summon 1 ""Gladiator Beast"" Fusion Monster from your Extra Deck, except ""Gladiator Beast Tamer Editor"", ignoring its Summoning conditions. At the end of the Battle Phase, if your ""Gladiator Beast"" monster battled: You can shuffle that monster into the Deck or Extra Deck; Special Summon 1 ""Gladiator Beast"" monster from your Deck.                    ",2400,3000,8,DARK,"2 Level 5 or higher ""Gladiator Beast"" monsters"
92964816,Glow-Up Bloom,"Effect Monster,Zombie","If this card is sent to the GY: You can banish this card from your GY; add 1 Level 5 or higher Zombie monster from your Deck to your hand, or, if ""Zombie World"" is in a Field Zone, you can Special Summon it from your Deck instead, also, in either case, you cannot Special Summon monsters for the rest of this turn, except Zombie monsters. You can only use this effect of ""Glow-Up Bloom"" once per turn.                    ",0,0,1,DARK,
46014517,Goblin Bikers Gone Bonkers,"Effect Monster,Fiend","You can target face-up monsters your opponent controls, up to the number of ""Goblin"" monsters you control; detach 1 material from a monster you control, and if you do, attach those monsters to this card as material. During your opponent's turn (Quick Effect): You can target cards your opponent controls, up to the number of ""Goblin"" Xyz Monsters you control; detach 3 materials from a monster(s) you control, and if you do, send those targeted cards to the GY. You can only use each effect of ""Goblin Bikers Gone Bonkers"" once per turn.                    ",2500,2000,6,DARK,2+ Level 6 monsters
55320758,Goblin Bikers Gone Wild,"Effect Monster,Fiend","If you control no monsters, or all monsters you control are ""Goblin"" monsters, you can Normal Summon this card without Tributing. You can only use each of the following effects of ""Goblin Bikers Gone Wild"" once per turn. If this card is Normal or Special Summoned: You can Special Summon 1 Level 4 or lower ""Goblin"" monster from your Deck. If this card is sent to the GY: You can target 1 card on the field; attach it to 1 ""Goblin"" Xyz Monster you control.                    ",2400,0,6,DARK,
66707058,Goblin Black Ops,"Effect Monster,Beast-Warrior","This card can attack your opponent directly. If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of your next turn, except with a card effect.                    ",1300,0,4,DARK,
12057781,Goblin Calligrapher,"Normal Monster,Fiend","A Goblin who devotes himself to mastering perfect calligraphy of the word ""False"". He gives his all to each stroke.                    ",400,400,1,DARK,
18960169,Goblin Decoy Squad,"Effect Monster,Warrior","When this card inflicts Battle Damage to your opponent, you can draw 1 card. If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card''s battle position cannot be changed until the end of your next turn, except with a card effect.                    ",1000,0,4,DARK,
18590133,Goblin King,"Effect Monster,Fiend","While you control another Fiend monster, monsters cannot attack this card. This card's ATK/DEF become the number of other Fiend monsters on the field x 1000.                    ",0,0,1,DARK,
63665875,Goblin Zombie,"Effect Monster,Zombie",If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY. If this card is sent from the field to the GY: Add 1 Zombie monster with 1200 or less DEF from your Deck to your hand.                    ,1100,1050,4,DARK,
71100270,Goblin's Crazy Beast,"Effect Monster,Fiend","Once per turn (Quick Effect): You can target 1 Spell/Trap on the field; detach 2 materials from a monster(s) on the field, and if you do, attach that target to this card as material. If a monster(s) you control would be destroyed by card effect, you can detach 1 material from this card instead. If this card is in your GY: You can Special Summon this card, then you can attach 1 ""Goblin"" monster from your GY to this card as material. You can only use this effect of ""Goblin's Crazy Beast"" once per Duel.                    ",2700,0,6,DARK,2+ Level 6 monsters
56105047,Gogogo Ghost,"Effect Monster,Zombie","If this card is Special Summoned: You can target 1 ""Gogogo Golem"" in your Graveyard; Special Summon that target in face-up Defense Position, then change this card to Defense Position. You can only use the effect of ""Gogogo Ghost"" once per turn.                    ",1900,0,4,DARK,
45464587,Gold Pride - Eradicator,"Effect Monster,Warrior","During your opponent's turn (Quick Effect): You can target 1 Fusion, Synchro, Xyz, or Link Monster on the field, or if your LP are lower than your opponent's, you can target 2; destroy them. You can only use this effect of ""Gold Pride - Eradicator"" once per turn. Once per turn, during the End Phase, if the previous effect was activated this turn: Return this card to the Extra Deck, and if you do, Special Summon 1 ""Gold Pride - Eliminator"" from your Deck or GY.                    ",2700,1700,8,DARK,1 Tuner + 1+ non-Tuner monsters
58884063,Gold Pride - Nytro Blaster,"Effect Monster,Pyro","If this card is Fusion Summoned: You can equip face-up monsters your opponent controls to it, up to the number of Fusion Materials used. You can only use the previous effect of ""Gold Pride - Pin Baller"" once per turn, also, if your LP are lower than your opponent's, the effect's activation and effect cannot be negated. Once per turn, during the End Phase, if the previous effect was activated this turn: Return this card to the Extra Deck, and if you do, Special Summon 1 ""Gold Pride - Roller Baller"" from your Deck or GY.                    ",2300,0,,DARK,"""Gold Pride - Roller Baller"" + 1+ ""Gold Pride"" monsters"
78004197,"Goldd, Wu-Lord of Dark World","Effect Monster,Fiend","If this card is discarded to the GY by a card effect: If it was discarded from your hand to your GY by an opponent's card effect, you can target up to 2 cards your opponent controls; Special Summon this card, then destroy those targets (if any).                    ",2300,1400,5,DARK,
95937545,Golden Allure Queen,"Effect Monster,Spellcaster","Once per turn (Quick Effect): You can activate this effect; look at your opponent's hand, also this card's name becomes ""Thousand-Eyes Idol"" until the End Phase. If this card is banished, or sent to the GY by card effect: You can target 1 Effect Monster your opponent controls; equip that Effect Monster to 1 ""Eyes Restrict"" or ""Relinquished"" monster you control that cannot be Normal Summoned. While equipped by this effect, that monster gains ATK equal to the ATK of the equipped monster. You can only use this effect of ""Golden-Eyes Idol"" once per turn.                    ",2500,0,,DARK,
12067160,Gorgon of Zilofthonia,"Effect Monster,Reptile",When this card is Normal Summoned: You can make all Rock-Type monsters you control become Level 3.                    ,100,300,,DARK,
64379261,Gorgonic Gargoyle,"Effect Monster,Rock",When you Normal Summon a Rock-Type monster: You can Special Summon this card from your hand.                    ,1000,800,3,DARK,
90764875,Gorgonic Ghoul,"Effect Monster,Rock","If you control a ""Gorgonic Ghoul"": You can pay 300 Life Points; Special Summon this card from your hand. You can use the effect of ""Gorgonic Ghoul"" up to twice per turn.                    ",100,100,1,DARK,
37984162,Gorgonic Golem,"Effect Monster,Rock","When this card is destroyed by battle and sent to the Graveyard: The ATK of the monster that destroyed it becomes 0. You can banish this card from your Graveyard, then target 1 Set Spell/Trap Card your opponent controls; that target cannot be activated this turn. Your opponent cannot activate the targeted card in response to this effect's activation.                    ",1200,600,3,DARK,
84401683,Gorgonic Guardian,"Effect Monster,Rock","Once per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; its ATK becomes 0, and if it does, its effects are negated. These effects last until the end of this turn. Once per turn: You can target 1 monster on the field with 0 ATK; destroy it.                    ",1600,1200,3,DARK,2 Level 3 Rock-Type monsters
44330098,Gorz the Emissary of Darkness,"Effect Monster,Fiend","When you take damage from a card in your opponent's possession: You can Special Summon this card from your hand. You must control no cards to activate and to resolve this effect. When this card is Special Summoned by its effect: Activate the appropriate effect, based on the type of damage.<br><li>Battle damage: Special Summon 1 ""Emissary of Darkness Token"" (Fairy/LIGHT/Level 7/ATK ?/DEF ?). Its ATK and DEF are each equal to the amount of battle damage you took.<br><li>Effect damage: Inflict damage to your opponent equal to the damage you took.                    ",2700,2500,7,DARK,
20758643,"Graff, Malebranche of the Burning Abyss","Effect Monster,Fiend","If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Graff, Malebranche of the Burning Abyss"" per turn, and only once that turn.<br><li>If you control no Spell/Trap Cards: You can Special Summon this card from your hand.<br><li>If this card is sent to the Graveyard: You can Special Summon 1 ""Burning Abyss"" monster from your Deck, except ""Graff, Malebranche of the Burning Abyss"".                    ",1000,1500,3,DARK,
13676474,Grand Tiki Elder,"Normal Monster,Fiend",A masked monster that wields the most deadly of curses.                    ,1500,800,4,DARK,
44190146,Grandpa Demetto,"Effect Monster,Spellcaster","You can detach 1 material from ""Princess Cologne"" you control; Special Summon up to 2 Normal Monsters with 0 ATK or DEF from your GY, each as a Level 8 DARK monster in Defense Position. If an Xyz Monster you control activates its effect by detaching a Normal Monster: You can target that Xyz Monster and 1 monster your opponent controls; destroy your opponent's monster, and if you do, inflict damage to your opponent equal to that Xyz Monster's Rank x 300. You can only use each effect of ""Grandpa Demetto"" once per turn.                    ",0,0,1,DARK,
34230233,"Grapha, Dragon Lord of Dark World","Effect Monster,Fiend","You can Special Summon this card (from your GY) by returning 1 ""Dark World"" monster you control to the hand, except ""Grapha, Dragon Lord of Dark World"". If this card is discarded to the GY by card effect: Target 1 card your opponent controls; destroy that target, then, if this card was discarded from your hand to your GY by an opponent's card effect, look at 1 random card in your opponent's hand, then, if it was a monster, you can Special Summon it to your field.                    ",2700,1800,8,DARK,
39552584,"Grapha, Dragon Overlord of Dark World","Effect Monster,Fiend","When your opponent activates a monster effect, or a Normal Spell/Trap Card, while you have a card(s) in your hand (Quick Effect): You can activate this effect; the activated effect becomes ""Your opponent discards 1 card"". You can only use this effect of ""Grapha, Dragon Overlord of Dark World"" once per turn. If this Fusion Summoned card in its owner's control leaves the field because of an opponent's card: You can Special Summon 1 of your ""Grapha, Dragon Lord of Dark World"" that is banished or in your GY, then each player with a hand discards 1 card.                    ",3200,2300,10,DARK,"""Grapha, Dragon Lord of Dark World"" + 1 DARK monster"
41249545,Grass Phantom,"Effect Monster,Plant","Increase the ATK of this card by 500 points for each ""Grass Phantom"" in your Graveyard.                    ",1000,1000,3,DARK,
11448373,Grave Protector,"Effect Monster,Fiend",Any monster destroyed by battle is shuffled into the Deck instead of going to the GY.                    ,0,2000,4,DARK,
48343627,Grave Squirmer,"Effect Monster,Fiend",When this card is destroyed by battle and sent to the Graveyard: Target 1 card on the field; destroy that target.                    ,0,0,1,DARK,
22134079,Gravekeeper's Ambusher,"Effect Monster,Spellcaster","When this card is flipped face-up: You can target 1 card in your opponent's Graveyard; place that target on the bottom of their Deck. If this card is sent from the field to the Graveyard after being flipped face-up: You can target 1 ""Necrovalley"" card in your Graveyard; add that target to your hand. This card's effects cannot be negated by the effect of ""Necrovalley"".                    ",1700,0,4,DARK,
25262697,Gravekeeper's Assailant,"Effect Monster,Spellcaster","If ""Necrovalley"" is on the field when this card declares an attack, you can select 1 face-up monster your opponent controls and change its battle position.                    ",1500,1500,4,DARK,
99877698,Gravekeeper's Cannonholder,"Effect Monster,Spellcaster","You can Tribute 1 ""Gravekeeper's"" monster, except ""Gravekeeper's Cannonholder"", to inflict 700 damage to your opponent.                    ",1400,1200,4,DARK,
62473983,Gravekeeper's Chief,"Effect Monster,Spellcaster","You can only control 1 ""Gravekeeper's Chief"". Cards in your Graveyard are unaffected by ""Necrovalley"". When this card is Tribute Summoned, you can select 1 ""Gravekeeper's"" monster from your Graveyard and Special Summon it.                    ",1900,1200,5,DARK,
50712728,Gravekeeper's Curse,"Effect Monster,Spellcaster","When this monster is Summoned, inflict 500 damage to your opponent.                    ",800,800,3,DARK,
30213599,Gravekeeper's Descendant,"Effect Monster,Spellcaster","You can Tribute 1 other face-up ""Gravekeeper's"" monster to target 1 card your opponent controls; destroy that target.                    ",1500,1200,4,DARK,
37101832,Gravekeeper's Guard,"Effect Monster,Spellcaster",FLIP: Select 1 monster your opponent controls and return it to the hand.                    ,1000,1900,4,DARK,
21663205,Gravekeeper's Headman,"Effect Monster,Spellcaster","If this card is Summoned: You can target 1 Level 4 ""Gravekeeper's"" monster in your GY; Special Summon it in face-up Attack Position or face-down Defense Position. You can only use this effect of ""Gravekeeper's Headman"" once per turn. This effect is unaffected by ""Necrovalley"".                    ",500,1500,3,DARK,
46955770,Gravekeeper's Heretic,"Effect Monster,Spellcaster","This card on the field is unaffected by all other card effects, as long as ""Necrovalley"" is also on the field.                    ",1800,1500,4,DARK,
85646474,Gravekeeper's Nobleman,"Effect Monster,Spellcaster","When this card you control is destroyed by battle with an opponent's attacking monster and sent to your Graveyard: You can Special Summon 1 ""Gravekeeper's"" monster from your Deck in face-down Defense Position, except ""Gravekeeper's Nobleman"".                    ",1000,1000,3,DARK,
25524823,Gravekeeper's Oracle,"Effect Monster,Spellcaster","You can Tribute 3 monsters or 1 ""Gravekeeper's"" monster to Tribute Summon (but not Set) this card. When this card is Tribute Summoned: You can activate any of these effects, and resolve in sequence, up to the number of ""Gravekeeper's"" monsters Tributed for the Summon.<br><li> This card gains ATK equal to the combined Levels that all monsters Tributed for its Tribute Summon had on the field x 100.<br><li> Destroy all Set monsters you opponent controls.<br><li> All monsters your opponent currently controls lose 2000 ATK and DEF.                    ",2000,1500,10,DARK,
03381441,Gravekeeper's Priestess,"Effect Monster,Spellcaster","The field is treated as ""Necrovalley"". If there is a face-up Field Spell Card, this effect is not applied. All face-up ""Gravekeeper's"" Monsters gain 200 ATK and DEF.                    ",1000,1500,3,DARK,
