sifra,ime,tip,efekt 
61258740,Sea Lord's Amulet,continous spell,Send this card to the Graveyard during your opponent's 3rd End Phase after activation. WATER monsters you control cannot be destroyed by your opponent's card effects.
58203736,Sea Stealth II,continous spell,"This card's name becomes ""Umi"" while on the field or in the GY. Your opponent cannot target WATER monsters you control with non-WATER monster effects. At the start of the Battle Phase: You can Special Summon from your hand or GY, 1 monster that mentions ""Umi"", or 1 WATER Normal Monster, in Defense Position, but destroy it at the end of the Battle Phase. You can only use this effect of ""Sea Stealth II"" once per turn."
36562627,Second Coin Toss,continous spell,"As long as this card remains face-up on the field, you can negate the effects of a card requiring a coin toss once per turn and redo the coin toss."
25407643,Secret Sanctuary of the Spellcasters,continous spell,"When a monster(s) (except a Spellcaster-Type monster) is Normal or Special Summoned to your opponent's side of the field while you control another face-up Spell Card and your opponent does not control any face-up Spell Cards: That monster cannot attack or activate its effects this turn. (This applies even if this card leaves the field.) If you do not control any Spellcaster-Type monsters, destroy this card."
81524977,Seed Cannon,continous spell,"Each time a Plant-Type monster(s) is Summoned, place 1 Plant Counter on this card (max. 5). You can send this card to the Graveyard to inflict 500 damage to your opponent for each Plant Counters on it."
60391791,Senri Eye,continous spell,"Once per turn, during each of your Standby Phases, you can pay 100 Life Points to look at 1 card on the top of your opponent's Deck and return it to its original position. Your opponent cannot look at the card."
95034141,Seven Cities of the Golden Land,continous spell,"During your Main Phase: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using only Zombie monsters from your hand or field as Fusion Material. If a Zombie monster(s) is Special Summoned by card effect (except during the Damage Step): You can target 1 Set card in a Spell & Trap Zone; that Set card cannot be activated this turn (even if this card leaves the field). You can only use each effect of ""Seven Cities of the Golden Land"" once per turn."
33904024,Shard of Greed,continous spell,"Each time you draw a card(s) for your normal draw in your Draw Phase, place 1 Greed Counter on this card. You can send this card with 2 or more Greed Counters to the Graveyard; draw 2 cards."
47436247,Shien's Dojo,continous spell,"Each time a ""Six Samurai"" monster(s) is Normal or Special Summoned, place 1 Bushido Counter on this card. You can send this card to the Graveyard; Special Summon 1 ""Six Samurai"" or ""Shien"" Effect Monster from your Main Deck, whose Level is less than or equal to the number of Bushido Counters on this card."
59237154,Shifting Shadows,continous spell,"Pay 300 Life Points to rearrange the face-down Defense Position monsters on your side of the field, then return them in face-down Defense Position. You can only use this effect once per turn."
79791878,Shining Sarcophagus,continous spell,"Cannot be destroyed by monster effects. You can only use each of the following effects of ""Shining Sarcophagus"" once per turn. During your Main Phase: You can add 1 card that mentions ""Shining Sarcophagus"" from your Deck to your hand, except ""Shining Sarcophagus"". If your opponent Special Summons a monster(s) from the GY (except during the Damage Step): You can discard 1 Spell, then target 1 of those monsters; send it to the GY."
09553721,Shinobird Power Spot,continous spell,"Spirit monsters you control gain 500 ATK and DEF. If a face-up WIND monster(s) you control returns to your hand (except during the Damage Step): You can add 1 Spirit monster or Ritual Spell Card from your Deck to your hand. You can only use this effect of ""Shinobird Power Spot"" once per turn."
40364916,Shiranui Style Solemnity,continous spell,"This card's name becomes ""Shiranui Style Synthesis"" while in the Spell & Trap Zone. Once per turn, you can activate 1 of these effects.<br><li>Banish 1 Zombie monster from your GY; the Normal and Special Summons of your Zombie monsters cannot be negated for the rest of this turn.<br><li>Target 1 Zombie monster you control; banish it, then you can send 1 Zombie monster with 0 DEF from your Deck to the GY."
72345736,Six Samurai United,continous spell,"Each time a ""Six Samurai"" monster(s) is Normal or Special Summoned, place 1 Bushido Counter on this card (max. 2). You can send this card to the GY; draw 1 card for each Bushido Counter on this card."
24010609,Sky Striker Mecha Modules - Multirole,continous spell,"Once per turn: You can target 1 other card you control; send that card to the GY, also your opponent cannot activate cards or effects in response to your Spell Card activations for the rest of this turn (even if this card leaves the field). (You can only gain the previous effect once per turn.) Once per turn, during the End Phase: You can Set ""Sky Striker"" Spells with different names from your GY, up to the number of ""Sky Striker"" Spell Cards you activated this turn while this card was face-up on your field, but banish them when they leave the field."
86780027,Solidarity,continous spell,"If you have only 1 original (printed) Type of monster in your Graveyard, face-up monsters you control with the same Type gain 800 ATK."
68073522,Soul Absorption,continous spell,"Each time a card(s) is removed from play, increase your Life Points by 500 points for each card removed from play."
51670553,Soul Devouring Bamboo Sword,continous spell,"Select 1 monster equipped with a ""Bamboo Sword"" Equip Spell Card. If it inflicts Battle Damage to your opponent while equipped with a ""Bamboo Sword"" card, they skip their next Draw Phase. Destroy this card during your second Standby Phase after activation."
34884015,Soul Pendulum,continous spell,"You can target 2 cards in your Pendulum Zones; change each target's Pendulum Scale by 1 (min. 1). You can only use this effect of ""Soul Pendulum"" once per turn. Each time your Pendulum Monster(s) is Pendulum Summoned, place 1 counter on this card. Pendulum Monsters on the field gain 300 ATK for each counter on this card. You can remove 3 counters from this card; during your Main Phase this turn, you can conduct 1 Pendulum Summon of a monster(s) in addition to your Pendulum Summon. (You can only gain this effect once per turn.)"
51481927,Spell Absorption,continous spell,"Each time a Spell Card is activated, increase the Life Points of this card's controller by 500 points."
74402414,Spell Chronicle,continous spell,"Send all cards in your hand to the Graveyard. Select and remove from play 5 Spell or Trap Cards from your Deck. Each time your opponent activates a Spell Card, place 1 Chronicle Counter on this card. You can remove 2 Chronicle Counters from this card to have your opponent select 1 of the cards removed from play with this card's effect, and add it to your hand. When this card is removed from the field, you take 500 damage for each card that is still removed from play due to this card's effect."
04259068,Spell Economics,continous spell,You do not have to pay any Life Points to activate a Spell Card.
56321639,Spellbook Star Hall,continous spell,"Each time a ""Spellbook"" Spell Card is activated, place 1 Spell Counter on this card. All Spellcaster-Type monsters you control gain 100 ATK for each Spell Counter on this card. When this card with Spell Counter(s) is destroyed and sent to the Graveyard: You can add 1 Spellcaster-Type monster from your Deck to your hand, whose Level is less than or equal to the number of Spell Counters that were on this card."
26640671,Spider's Lair,continous spell,"Once per turn, you can select 1 face-up Insect-Type monster you control. While this card remains on the field, any opponent's monster that battles with one of those monsters is changed to Defense Position at the end of the Battle Phase, and cannot change its battle position while this card is on the field."
49328340,Spiral Spear Strike,continous spell,"When ""Gaia the Fierce Knight"", ""Swift Gaia the Fierce Knight"" or ""Gaia the Dragon Champion"" on your side of the field attacks a Defense Position monster, if the ATK of that card is higher than the DEF of the Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. If ""Gaia the Dragon Champion"" inflicts Battle Damage with this effect, draw 2 cards from your Deck and discard 1 card from your hand."
20802187,Spirit Converter,continous spell,Once per turn: You can target 1 Xyz Monster you control; attach 1 Level 4 LIGHT monster you control to that target as an Xyz Material. When this card is sent from the field to the Graveyard: Target 2 Level 4 LIGHT Thunder-Type monsters with the same name in your Graveyard; add those targets to your hand.
94772232,"Spirit Message ""A""",continous spell,"This card can only be placed on the field by the effect of ""Destiny Board""."
31893528,"Spirit Message ""I""",continous spell,"This card can only be placed on the field by the effect of ""Destiny Board""."
30170981,"Spirit Message ""L""",continous spell,"This card can only be placed on the field by the effect of ""Destiny Board""."
67287533,"Spirit Message ""N""",continous spell,"This card can only be placed on the field by the effect of ""Destiny Board""."
99173029,Spiritual Energy Settle Machine,continous spell,"As long as this card remains face-up on the field, all Spirit monsters remain face-up on the field and do not return to their owners' hands during the End Phase even if they are Normal Summoned or flipped face-up. Discard 1 card from your hand during each of your End Phases. If you do not, destroy this card. When this card is removed from the field, all face-up Spirit monsters return to the owners' hands."
69112325,Spiritual Forest,continous spell,"Each turn, the first face-up Beast, Beast-Warrior, or Plant-Type monster you control that would be destroyed by battle, is not destroyed."
94425169,Spring of Rebirth,continous spell,Increase your Life Points by 500 points every time monsters return from the field to the owner's hand.
07496001,Springans Booty,continous spell,"If a face-up Xyz Monster you control leaves the field by card effect: You can target 1 Effect Monster your opponent controls; neither player can activate that Effect Monster's effects on the field this turn. You can send this face-up card to the GY; activate 1 ""Great Sand Sea - Gold Golgonda"" directly from your Deck or GY. You can only use each effect of ""Springans Booty"" once per turn."
27642961,SPYRAL MISSION - Assault,continous spell,"Destroy this card during your 3rd End Phase after activation. Once per turn, if a ""SPYRAL"" monster you control destroys a monster by battle, or if you destroy a card(s) on the field with a ""SPYRAL"" monster's effect you control: You can draw 1 card. You can banish this card from your Graveyard; Special Summon 1 ""SPYRAL"" monster from your hand."
19671102,Stairs of Mail,continous spell,"During your Main Phase: You can activate this effect; discard 1 ""Tindangle"" card, and if you do, apply 1 of these effects.<br><li>Change 1 face-down Defense Position monster you control to face-up Attack Position.<br><li>Change 1 face-up Attack Position monster you control to face-down Defense Position.<br>This turn, you cannot discard another card with the same name for the effect of ""Stairs of Mail"" (even if this card leaves the field)."
97729135,Staring Contest,continous spell,When you Special Summon a monster to the Extra Monster Zone: You can target 1 monster in your opponent's Main Monster Zone; move that target to their zone in the same column as that Extra Monster Zone monster. When your opponent Special Summons a monster to the Extra Monster Zone: You can target 1 monster in your Main Monster Zone; move that target to your zone in the same column as that Extra Monster Zone monster. These effects cannot be activated in the Damage Step.
85590798,Starry Knight Ceremony,continous spell,"During your Main Phase: You can reveal 1 LIGHT Fairy monster in your hand, and if you do, add 1 Level 7 LIGHT Dragon monster from your Deck to your hand, then place that revealed monster on the bottom of your Deck. If your opponent activates a card or effect: You can Special Summon 1 Level 7 LIGHT Dragon monster from your hand. You can only use 1 ""Starry Knight Ceremony"" effect per turn, and only once that turn."
96239878,Strength in Unity,continous spell,"If you Ritual or Fusion Summon using ""Blue-Eyes White Dragon"" or ""Dark Magician"": You can target 1 card your opponent controls or in their GY; banish it. You can send this face-up card from the field to the GY, then target 1 Level 7 or higher Normal Monster in your GY; add it to your hand or shuffle it into the Deck. You can only use each effect of ""Strength in Unity"" once per turn."
34646691,Stumbling,continous spell,"Any monster that is Normal Summoned, Flip Summoned or Special Summoned is changed to Defense Position."
68001309,Subterror Cave Clash,continous spell,"All ""Subterror"" monsters you control gain 500 ATK and DEF for each Set monster on the field. Once per turn, when a ""Subterror"" monster you control inflicts battle damage to your opponent: You can target 1 ""Subterror"" card in your Graveyard, except ""Subterror Cave Clash""; add it to your hand."
23611122,Sudden Thunder Swamp,continous spell,"When this card is activated: You can discard 1 card, and if you do, Set 1 Continuous Trap from your Deck or GY, with an effect that Special Summons itself as a monster, except the discarded card. If a card(s) you control is destroyed by battle or card effect, and sent to the GY or banished face-up: You can target 1 of them; add 1 card with the same name from your Deck to your hand. You can only use this effect of ""Sudden Thunder Swamp"" once per turn. You can only activate 1 ""Sudden Thunder Swamp"" per turn."
55375684,Summon Cloud,continous spell,"Once per turn, during your Main Phase: You can Special Summon 1 Level 4 or lower ""Cloudian"" monster from your hand or either GY. You must control no monsters to activate and to resolve this effect. If you Special Summon a monster from the GY with this effect, destroy this card."
61650133,Summoning Curse,continous spell,"If a monster(s) is Special Summoned: The current controller of that monster(s) banishes 1 card from their hand. Once per turn, during your End Phase, pay 500 LP or destroy this card."
42510430,Sunset Beat,continous spell,"If a face-up monster you control is changed to face-down Defense Position: You can target 1 card on the field; destroy it. If a Flip monster(s) you control is flipped face-up, even during the Damage Step: You can target 1 of them; inflict damage to your opponent equal to its Level x 200. You can only use each effect of ""Sunset Beat"" once per turn."
70473293,Sunvine Cross Breed,continous spell,"Tribute 1 Link Monster, then target 1 other Plant monster in your GY; Special Summon it, but negate its effects. You can only use this effect of ""Sunvine Cross Breed"" once per turn."
27946124,Sunvine Shrine,continous spell,"Activate this card by sending 1 card from your hand to the GY while you control a ""Sunavalon"" Link Monster. You cannot Special Summon monsters from the Extra Deck, except Plant monsters. Once per turn, during your Main Phase: You can Special Summon 1 Level 4 or lower Plant Normal Monster from your GY. Once per turn, during your opponent's End Phase: You can send this face-up card to the GY, then target 1 Continuous Trap in your GY; Set it to your Spell & Trap Zone."
28529976,Super Solar Nutrient,continous spell,"Tribute 1 Level 2 or lower Plant-Type monster. Special Summon 1 Plant-Type monster whose Level is equal to or lower than the Tributed monster's Level +3 from your hand or Deck. When this card is removed from the field, destroy that monster. When that monster is removed from the field, destroy this card."
16165939,Supernatural Danger Zone,continous spell,"If a non-Effect Monster is Special Summoned face-up (except during the Damage Step): You can target 1 card your opponent controls; destroy it. If this card in its owner's Spell & Trap Zone is destroyed by an opponent's card effect: You can Special Summon 1 non-Effect Monster from your hand, Deck, or GY. You can only use each effect of ""Supernatural Danger Zone"" once per turn."
17626381,Supply Squad,continous spell,"Once per turn, if a monster(s) you control is destroyed by battle or by card effect: Draw 1 card."
93087299,Swords of Burning Light,continous spell,"While you control no monsters, monsters your opponent controls cannot declare attacks. If you control a monster, or if your opponent has 5 or more cards in their hand, destroy this card."
12923641,Swords of Concealing Light,continous spell,"When this card resolves, all monsters your opponent controlled when this card was activated are changed to face-down Defense Position. Monsters your opponent controls cannot change their battle positions. Destroy this card during your 2nd Standby Phase after activation."
23442438,Synchro Chase,continous spell,"Your opponent cannot activate cards or effects in response to the effect activations of your Synchro Monsters with ""Warrior"", ""Synchron"", or ""Stardust"" in their original names. If you Synchro Summon a ""Warrior"", ""Synchron"", or ""Stardust"" Synchro Monster: You can target 1 monster in your GY used as its material; Special Summon it in Defense Position. You can only use this effect of ""Synchro Chase"" once per turn."
47699948,Synchro Dilemma,continous spell,"You can activate 1 of the following effects;<br><li>Send 1 ""Synchron"" monster from your hand or face-up field to the GY; Special Summon 1 monster from your hand.<br><li>Target 1 other card you control; destroy it, and if you do, Special Summon 1 ""Synchron"" monster with a different original name from your hand or GY.<br>You can only use this effect of ""Synchro Dilemma"" once per turn."
61032879,Synchronized Realm,continous spell,"Each time you Synchro Summon a Synchro monster, inflict 500 damage to your opponent."
54573517,T.G. All Clear,continous spell,"All ""T.G."" monsters on the field become Machine monsters. During your Main Phase, you can Normal Summon 1 ""T.G."" monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) During your Main Phase: You can destroy 1 ""T.G."" monster in your hand or field, and if you do, add 1 ""T.G."" monster with a different name from your Deck or GY to your hand. You can only use this effect of ""T.G. All Clear"" once per turn."
19312169,Talisman of Trap Sealing,continous spell,"You can only activate this card while there is a face-up Sealmaster Meisei"" on your side of the field. While this card is face-up on the field, Trap Cards cannot be activated and the effects of face-up Trap Cards on the field are negated. When ""Sealmaster Meisei"" is removed from the field, destroy this card."""
06767771,Tearlaments Scream,continous spell,"If a monster(s) is Normal or Special Summoned, and you control a ""Tearlaments"" monster or ""Visas Starfrost"" (except during the Damage Step): You can send the top 3 cards of your Deck to the GY, also, for the rest of this turn, all monsters your opponent controls lose 500 ATK. If this card is sent to the GY by card effect: You can add 1 ""Tearlaments"" Trap from your Deck to your hand. You can only use each effect of ""Tearlaments Scream"" once per turn."
06795211,Teleport,continous spell,"Once per turn, if your opponent controls a monster and you control no monsters, you can pay 800 Life Points to Special Summon 1 Psychic-Type monster from your hand."
29762407,Temple of the Kings,continous spell,"The controller of this card can activate Trap Cards the same turn they are Set. If you control ""Mystical Beast of Serket"" and this card, you can send both to the Graveyard to Special Summon 1 monster from your hand, Deck or Extra Deck."
91468551,Temple of the Sun,continous spell,Face-up monsters you control that were Special Summoned from the Graveyard gain 300 ATK.
54631834,Terminal World,continous spell,"Activate only during Main Phase 1. While this card is on the field, both players skip their Main Phase 2."
48605591,Terminal World NEXT,continous spell,"Activate this card if your opponent controls 3 or fewer monsters and 3 or fewer Spell/Trap Cards, while you control no other cards. Cards cannot be placed on the field if it would give any player more than 3 monsters or more than 3 Spell/Trap Cards on their field."
06589707,Terrors in the Hidden City,continous spell,Your opponent cannot target face-down Defense Position monsters you control with card effects. Monsters you control that were flipped face-up while this card was face-up on the field gain 1500 ATK/DEF. If this card in its owner's Spell & Trap Zone is destroyed by an opponent's card effect: You can target 1 monster in your GY; Special Summon it in face-down Defense Position.
58258899,TGX300,continous spell,"All face-up monsters you control gain 300 ATK for each face-up ""T.G."" monster you control."
97223101,That's 10!,continous spell,"Each time a card or effect is activated, except ""That's 10!"": You can place 1 Access Counter on this card (max. 10). Monsters you control gain 100 ATK for each Access Counter on this card. If the 10th Access Counter is placed on this card: You can return this card to the hand, and if you do, Set from your Deck, 1 Continuous Trap with an effect that Special Summons itself as a monster. It can be activated this turn."
00403847,The A. Forces,continous spell,All Warrior-Type monsters you control gain 200 ATK for each face-up Warrior or Spellcaster-Type monster you control.
30606547,The Dark Door,continous spell,Only 1 monster can attack during each Battle Phase.
92223641,The Fountain in the Sky,continous spell,When a LIGHT monster is destroyed by battle and sent to your GY: You can remove that monster from play to gain LP equal to its ATK.
03461403,The Immortal Bushi Mourns the Mortal Body,continous spell,"All monsters in your GY become Warrior monsters. Once per turn, during the End Phase: You can destroy all monsters you control."
11163040,The Kaiju Files,continous spell,"Each time a ""Kaiju"" monster(s) is Special Summoned from the hand and/or Graveyard, place 1 Kaiju Counter on this card (max. 5). Once per turn: You can target 1 ""Kaiju"" monster on the field; destroy that monster, then Special Summon 1 ""Kaiju"" monster with a different original name from your Deck to its controller's field. You can send this card with 3 or more Kaiju Counters to the Graveyard; add 1 ""Kaiju""Spell/Trap Card from your Deck to your hand, except ""The Kaiju Files""."
59371387,The Resolute Meklord Army,continous spell,"Face-up Attack Position ""Meklord Army"" monsters you control have their effects negated and cannot be destroyed by battle."
15449853,The Sanctum of Parshath,continous spell,"This card's name becomes ""The Sanctuary in the Sky"" while on the field or in the GY. Fairy monsters on the field gain 300 ATK/DEF. Set Spells/Traps cannot be targeted by, or destroyed by, card effects. Once per turn: You can target a total of 3 Fairy monsters and/or Counter Traps with different names in your GY; place them on top of your Deck in any order."
04081094,The Second Sarcophagus,continous spell,"This card can only be placed on the field by the effect of ""The First Sarcophagus""."
78697395,The Third Sarcophagus,continous spell,"This card can only be placed on the field by the effect of ""The First Sarcophagus""."
11587414,The True Sun God,continous spell,"When this card is activated: Add 1 ""The Winged Dragon of Ra"" or 1 card that mentions it from your Deck to your hand, except ""The True Sun God"". Monsters, except ""The Winged Dragon of Ra"", cannot attack the turn they are Special Summoned. Once per turn, during your Main Phase: You can send this card from the field, or 1 ""The Winged Dragon of Ra - Immortal Phoenix"" from your Deck, to the GY, then send 1 ""The Winged Dragon of Ra"" from your Monster Zone to the GY. You can only activate 1 ""The True Sun God"" per turn."
53956001,The Weather Cloudy Canvas,continous spell,"The Weather"" Effect Monsters in your Main Monster Zones of this card's column and its adjacent columns gain this effect.<br><li>You can banish this card, then target 1 face-up monster on the field (except during the Damage Step) (Quick Effect); halve its current ATK for the rest of this turn, but it can attack directly this turn.<br>You can only control 1 ""The Weather Cloudy Canvas"""
27561302,The Weather Rainy Canvas,continous spell,"The Weather"" Effect Monsters in your Main Monster Zones of this card's column and its adjacent columns gain this effect.<br><li>You can banish this card, then target 1 Spell/Trap your opponent controls (Quick Effect); return it to the hand.<br>You can only control 1 ""The Weather Rainy Canvas"""
80577258,The Weather Snowy Canvas,continous spell,"The Weather"" Effect Monsters in your Main Monster Zones of this card's column and its adjacent columns gain this effect.<br><li>You can banish this card (Quick Effect); add 1 ""The Weather"" card from your Deck to your hand, also you cannot add cards from your Deck to your hand for the rest of this turn, except by drawing them.<br>You can only control 1 ""The Weather Snowy Canvas"""
89355716,The Weather Sunny Canvas,continous spell,"The Weather"" Effect Monsters in your Main Monster Zones of this card's column and its adjacent columns gain this effect.<br><li>You can banish this card, then target 1 monster you control (Quick Effect); Tribute that target, and if you do, Special Summon 1 ""The Weather"" monster from your hand or GY, but not with the same name the Tributed monster had on the field.<br>You can only control 1 ""The Weather Sunny Canvas"""
92562411,The World Legacy,continous spell,"You can only control 1 ""The World Legacy"". Each time a face-up Level 5 or higher monster(s) is sent from the field to the GY, place 1 counter on this card for each sent card (max. 7). You can send this card with 7 counters to the GY; Special Summon 1 Cyberse Link Monster from your Extra Deck."
05973663,The World Tree,continous spell,"Each time a Plant-Type monster(s) on the field is destroyed, place 1 Flower Counter on this card. You can remove Flower Counters to activate this card's effects: ?Remove 1: Target face-up Plant-Type monster gains 400 ATK and DEF until the End Phase. ?Remove 2: Destroy 1 card on the field. ?Remove 3: Select 1 Plant-Type monster from your Graveyard and Special Summon it."
81670445,Time Thief Hack,continous spell,"During the turn they are Special Summoned, Xyz Monsters, you control cannot be destroyed by your opponent's card effects, also your opponent cannot target them with card effects. You can target 1 face-up Xyz Monster you control; it gains 300 ATK for each material currently attached to it, until the end of this turn, and if it does, and also has a material that is owned by your opponent, it can attack directly this turn (even if this card leaves the field). You can only use this effect of ""Time Thief Hack"" once per turn."
53545926,Token Support,continous spell,"You can Tribute any number of Tokens, then target 1 monster you control with 0 ATK; it gains ATK equal to the number Tributed x 1000 (until the end of this turn), and if it does, it can attack monsters up to the number Tributed during each Battle Phase this turn. You can only use this effect of ""Token Support"" once per turn. At the end of your opponent's Battle Phase: You can Special Summon ""Support Tokens"" (Beast/EARTH/Level 1/ATK 0/DEF 0) up to the number of Tokens destroyed during this Battle Phase."
82003859,Toll,continous spell,Each player must pay 500 Life Points to declare an attack.
70508653,Tool Box,continous spell,"If you control a monster: You can reveal 2 Equip Spells from your Deck with different names, your opponent randomly picks 1 for you to add to your hand, also place the remaining card on the bottom of your Deck. You can only use this effect of ""Tool Box"" once per turn."
15259703,Toon World,continous spell,Activate this card by paying 1000 LP.
24875656,Toy Box,continous spell,"Once per turn, when an opponent's monster declares an attack: You can send 1 face-down card you control to the GY; destroy that opponent's monster. Once per turn: You can activate 1 of these effects;<br><li>From your hand, Deck, face-up Monster Zone, and/or GY, choose up to 2 monsters with ""Toy"" in their original names that can Set themselves from the hand as a Spell, and Set them in your Spell & Trap Zone as Spells.<br><li>Destroy up to 2 cards in your Spell & Trap Zone."
70245411,Toy Vendor,continous spell,"Once per turn: You can discard 1 card; draw 1 card and reveal it, then if it is a ""Fluffal"" monster, you can Special Summon 1 monster from your hand. Otherwise, discard the card you drew. If this card is sent to the Graveyard: You can add 1 ""Edge Imp Sabres"" or 1 ""Fluffal"" monster from your Deck to your hand."
21420702,Tri-Blaze Accelerator,continous spell,"Activate only by sending 1 face-up ""Blaze Accelerator"" on your side of the field to the Graveyard. You can send 1 Pyro-Type monster from your hand to the Graveyard to destroy 1 monster your opponent controls and inflict 500 damage to your opponent, but you cannot declare an attack this turn if you do."
07889323,Tri-Brigade Showdown,continous spell,"If a Beast, Beast-Warrior, or Winged Beast monster is Special Summoned to your field (except during the Damage Step): You can target 1 of your banished ""Tri-Brigade"" monsters; add it to your hand. After damage calculation, if your ""Tri-Brigade"" monster battled an opponent's monster: You can return the opponent's monster to the hand. You can only use each effect of ""Tri-Brigade Showdown"" once per turn."
25908748,Tri-Brigade Stand-Off,continous spell,"You cannot Special Summon monsters from the Extra Deck, except Beast, Beast-Warrior, or Winged Beast monsters. You can send 1 monster from your hand or field to the GY; add 1 ""Tri-Brigade"" monster from your Deck to your hand with a different original Type than that monster sent to the GY. You can only use this effect of ""Tri-Brigade Stand-Off"" once per turn. If this card in its owner's Spell & Trap Zone is destroyed by an opponent's card effect: You can activate this effect; your opponent cannot declare an attack this turn."
64576557,Triamid Loading,continous spell,"If a Field Spell is placed face-up in the Field Zone: You can add 1 ""Triamid"" Spell/Trap from your Deck to your hand, except ""Triamid Loading"". If a face-up Rock monster(s) you control is destroyed by battle or an opponent's card effect: You can Special Summon 1 ""Triamid"" monster with a different name from your Deck. You can only use each effect of ""Triamid Loading"" once per turn."
61159609,Trismagistus,continous spell,"The first time each ""Magistus"" monster equipped with an Equip Card would be destroyed by battle each turn, it is not destroyed. You can only use 1 of the following effects of ""Trismagistus"" per turn, and only once that turn.<br><li>During your Main Phase: You can Special Summon 1 Level 4 Spellcaster monster from your hand.<br><li>You can send this face-up card to the GY; Special Summon any number of ""Magistus"" monsters with different names from your hand."
49430782,True Draco Heritage,continous spell,"During your Main Phase: You can draw cards equal to the number of ""True Draco"" and ""True King"" card types (Monster, Spell, and Trap) sent from the field to the Graveyard this turn. During your Main Phase, you can: Immediately after this effect resolves, Tribute Summon 1 ""True Draco"" or ""True King"" monster face-up. If this card is sent from the Spell & Trap Zone to the Graveyard: You can target 1 Spell/Trap Card on the field; destroy it. You can only use each effect of ""True Draco Heritage"" once per turn."
25578802,Two-Man Cell Battle,continous spell,"During each player's End Phase, the turn player can Special Summon 1 Level 4 Normal Monster from his/her hand."
32692693,Ursarctic Radiation,continous spell,"Activate this card by placing 7 counters on it. Each time an ""Ursarctic"" monster(s) is Special Summoned from the hand or Extra Deck: You can remove 1 counter from this card; draw 1 card. Once per turn, during the End Phase: You can target 1 ""Ursarctic"" card in your GY, except ""Ursarctic Radiation""; shuffle it into the Deck. You can only control 1 ""Ursarctic Radiation""."
01353770,"Valhalla, Hall of the Fallen",continous spell,Once per turn: You can Special Summon 1 Fairy monster from your hand. You must control no monsters to activate and to resolve this effect.
05795882,Vampire's Domain,continous spell,"Once per turn: You can pay 500 LP; during your Main Phase this turn, you can Normal Summon 1 ""Vampire"" monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) Each time your ""Vampire"" monster inflicts battle damage to your opponent: Gain the same amont of LP."
90434926,Veil of Darkness,continous spell,"During your Draw Phase, if you draw a DARK monster(s): You can reveal any number of them; send them to the GY, then you can draw 1 more card."
33971095,Vendread Nightmare,continous spell,"Once per turn: You can Tribute 1 or more ""Vendread"" monsters from your hand and/or field, then target 1 face-up monster you control; increase its Level by the number of monsters Tributed, until the end of this turn. When your attacking ""Vendread"" Ritual Monster destroys an opponent's monster by battle: You can have your monster gain 1000 ATK. You can only use this effect of ""Vendread Nightmare"" once per turn."
95220856,Vengeful Bog Spirit,continous spell,Monsters cannot attack the turn they are Summoned.
80402389,Verdant Sanctuary,continous spell,"When a face-up Insect-Type monster is destroyed and sent to the Graveyard, its controller can add 1 Insect-Type monster with the same Level as the destroyed monster from their Deck to their hand."
14108995,Vernusylph Corolla,continous spell,"All EARTH monsters you control are also treated as ""Vernusylph"" monsters. Once per turn, if you would discard a ""Vernusylph"" monster(s) and 1 card to activate the effect of that ""Vernusylph"" monster in your hand, you can discard only that ""Vernusylph"" monster(s) instead."
75493362,Vingolf's Blessing,continous spell,"When this card is activated: You can send 1 LIGHT Fairy monster from your Deck to the GY. Fairy monsters you control gain 100 ATK for each Fairy monster in your field and GY. If this card is sent to the GY: You can target 1 Level 4 or lower Fairy monster in your GY; Special Summon it. You can only use this effect of ""Vingolf's Blessing"" once per turn. You can only activate 1 ""Vingolf's Blessing"" per turn."
50275295,Virtual World Gate - Qinglong,continous spell,"You can banish 1 ""Virtual World"" card from your GY, then target 1 face-up monster on the field; negate its effects until the end of this turn (even if this card leaves the field). You can banish this card from your GY; add 1 ""Virtual World"" monster from your Deck to your hand, then send 1 card from your hand to the GY. You can only use each effect of ""Virtual World Gate - Qinglong"" once per turn."
35659410,Vision with Eyes of Blue,continous spell,"When you activate this card: You can reveal 1 ""Blue-Eyes White Dragon"" in your hand; Special Summon 1 monster from your hand. Once per turn: You can target 1 face-up monster you control; return that face-up monster to the hand, then you can apply the following effect, based on the original name of the card returned to the hand.<br><li>""Blue-Eyes White Dragon"": Special Summon 1 monster from your hand.<br><li>Other: Special Summon 1 ""Blue-Eyes"" monster from your hand.<br>You can only activate 1 ""Vision with Eyes of Blue"" per turn."
07337976,Void Apocalypse,continous spell,"You can discard 1 card; send 1 Fiend monster from your Deck to the GY. You can send this face-up card from your Spell & Trap Zone to the GY; send ""Infernoid"" monsters with different names from your hand and/or Deck to the GY, up to the number of monsters your opponent controls that were Special Summoned from the Extra Deck. You can only use 1 ""Void Apocalypse"" effect per turn, and only once that turn."
96235944,Void Breach,continous spell,"Infernoid"" monsters you control gain 100 ATK for each of your banished ""Infernoid"" monsters. If you control no monsters, or all monsters you control are Fiend monsters: You can activate 1 of these effects;<br><li>Add 1 of your banished ""Infernoid"" monsters to your hand.<br><li>Special Summon 1 ""Infernoid"" monster from your hand, ignoring its Summoning conditions.<br>You can only use this effect of ""Void Breach"" once per turn"
